sales,AdvertisingSpend,CompetitorPrice,prices,market,year,display_size,primary_camera,storage,battery
0.08,33.964211847437326,17.399089745359902,571.06,google-play,2013,5.0,13.0,64.0,2600.0
2.46,33.96421184743731,5.799696581786634,554.43,google-play,2013,5.0,13.0,64.0,2600.0
0.96,33.964211847437326,2.3198786327146763,538.28,google-play,2013,5.0,13.0,64.0,2600.0
1.21,47.13400827807628,430.3632818283985,522.6,google-play,2013,5.0,13.0,64.0,2600.0
1.07,51.29289136143595,389.8454355393028,507.38,google-play,2013,5.0,13.0,64.0,2600.0
1.37,66.94759444186292,407.6570442095334,492.6,google-play,2013,5.0,13.0,64.0,2600.0
1.56,71.10647752522259,373.5969459280304,478.26,google-play,2013,5.0,13.0,64.0,2600.0
1.22,78.44341443893022,368.85396598269296,464.33,google-play,2013,5.0,13.0,64.0,2600.0
1.62,81.14477565188163,392.2543113429363,450.8,google-play,2013,5.0,13.0,64.0,2600.0
1.38,85.70912384334946,337.0835649038862,437.67,google-play,2014,5.0,13.0,64.0,2600.0
1.05,85.70912384334946,350.63323927158217,424.92,google-play,2014,5.0,13.0,64.0,2600.0
0.71,82.93653512110964,314.582597320463,391.42,google-play,2014,5.0,13.0,64.0,2600.0
1.03,88.48171256558926,406.40235445319973,374.76,google-play,2014,5.0,13.0,64.0,2600.0
1.07,85.01597666278951,397.5706116331713,361.46,google-play,2014,5.0,13.0,64.0,2600.0
0.95,95.41318437118868,276.93073772810084,359.09,google-play,2014,5.0,13.0,64.0,2600.0
0.95,91.254301287829,310.6282271145329,355.1,google-play,2014,5.0,13.0,64.0,2600.0
0.96,84.32282948222955,325.77423279675224,351.12,google-play,2014,5.0,13.0,64.0,2600.0
0.78,87.85979289431766,285.85457022100223,347.13,google-play,2014,5.0,13.0,64.0,2600.0
0.53,80.23517390815823,321.36875167240873,343.15,google-play,2014,5.0,13.0,64.0,2600.0
0.3,80.23517390815826,272.21428988684397,319.5,google-play,2014,5.0,13.0,64.0,2600.0
0.27,67.35305954997109,277.5700491129599,306.63,google-play,2014,5.0,13.0,64.0,2600.0
0.66,29.80532876407765,37.11805812343448,667.23,ios,2013,4.0,8.0,16.0,1570.0
1.56,29.80532876407765,28.99848290893317,647.8,ios,2013,4.0,8.0,16.0,1570.0
0.74,29.80532876407765,75.39605556322635,628.93,ios,2013,4.0,8.0,16.0,1570.0
1.99,29.80532876407765,513.2180171203131,610.61,ios,2013,4.0,8.0,16.0,1570.0
1.68,29.80532876407765,454.5215004103655,592.83,ios,2014,4.0,8.0,16.0,1570.0
0.52,29.80532876407765,464.64930736387,575.56,ios,2014,4.0,8.0,16.0,1570.0
0.53,29.80532876407765,425.2807008552657,555.64,ios,2014,4.0,8.0,16.0,1570.0
0.68,29.80532876407765,513.8794694301098,555.64,ios,2014,4.0,8.0,16.0,1570.0
1.08,29.80532876407765,501.91678719466734,559.12,ios,2014,4.0,8.0,16.0,1570.0
1.0,29.805328764077643,390.6835852500663,552.48,ios,2014,4.0,8.0,16.0,1570.0
1.01,29.80532876407765,435.9212185880021,568.09,ios,2014,4.0,8.0,16.0,1570.0
0.79,29.80532876407765,462.69049050709015,547.66,ios,2014,4.0,8.0,16.0,1570.0
0.65,55.45177444479563,419.8130599437699,507.89,ios,2014,4.0,8.0,16.0,1570.0
0.76,55.45177444479563,468.9038813381219,492.5,ios,2014,4.0,8.0,16.0,1570.0
0.44,55.45177444479563,408.3547396004421,482.79,ios,2014,4.0,8.0,16.0,1570.0
0.67,55.451774444795625,388.92620407356867,479.97,ios,2014,4.0,8.0,16.0,1570.0
1.12,29.80532876407765,37.11805812343448,508.68,ios,2013,4.0,8.0,16.0,1510.0
1.49,29.80532876407765,28.99848290893317,493.87,ios,2013,4.0,8.0,16.0,1510.0
0.74,29.80532876407765,75.3960555632263,479.48,ios,2013,4.0,8.0,16.0,1510.0
1.05,29.80532876407765,455.58996681792246,465.52,ios,2013,4.0,8.0,16.0,1510.0
1.77,29.80532876407765,394.2939615127396,451.96,ios,2014,4.0,8.0,16.0,1510.0
1.09,29.80532876407765,337.92864147176346,438.8,ios,2014,4.0,8.0,16.0,1510.0
0.51,29.80532876407765,356.0972925335475,445.78,ios,2014,4.0,8.0,16.0,1510.0
0.59,29.80532876407765,315.3861127456577,445.78,ios,2014,4.0,8.0,16.0,1510.0
0.95,29.80532876407765,407.1850893070532,440.28,ios,2014,4.0,8.0,16.0,1510.0
0.91,29.805328764077643,412.0200355724491,436.02,ios,2014,4.0,8.0,16.0,1510.0
0.85,29.80532876407765,314.58513299843355,455.67,ios,2014,4.0,8.0,16.0,1510.0
0.72,29.80532876407765,357.17293424016543,415.48,ios,2014,4.0,8.0,16.0,1510.0
0.1799999999999999,55.45177444479563,395.97990849857274,412.51,ios,2014,4.0,8.0,16.0,1510.0
0.0499999999999999,55.45177444479563,363.1936100727939,393.02,ios,2014,4.0,8.0,16.0,1510.0
0.05,55.45177444479563,381.75214398693487,381.1,ios,2014,4.0,8.0,16.0,1510.0
0.04,55.451774444795625,319.3780229735707,360.07,ios,2014,4.0,8.0,16.0,1510.0
1.33,89.86800692670916,47.55751197065047,575.0,google-play,2014,5.1,16.0,16.0,2800.0
1.1,86.4022710239094,47.55751197065041,519.0,google-play,2014,5.1,16.0,16.0,2800.0
1.4,96.7994787323086,33.63824017436252,507.06,google-play,2014,5.1,16.0,16.0,2800.0
1.68,92.64059564894887,492.2493686654389,496.57,google-play,2014,5.1,16.0,16.0,2800.0
0.87,85.70912384334945,462.7384833593101,491.17,google-play,2014,5.1,16.0,16.0,2800.0
0.51,89.24608725543756,403.43048604577285,461.01,google-play,2014,5.1,16.0,16.0,2800.0
1.27,81.62146826927813,349.76664027915837,459.4,google-play,2014,5.1,16.0,16.0,2800.0
1.12,81.62146826927815,373.86468103031046,436.08,google-play,2014,5.1,16.0,16.0,2800.0
1.05,68.73935391109099,321.65491843359945,416.71,google-play,2014,5.1,16.0,16.0,2800.0
0.38,10.39720770839918,103.23459915580219,328.04,google-play,2013,5.5,8.0,32.0,3100.0
0.38,30.4984759446376,103.23459915580219,526.21,google-play,2013,5.5,8.0,32.0,3100.0
0.9,30.498475944637597,5.799696581786634,511.73,google-play,2013,5.5,8.0,32.0,3100.0
2.34,34.657359027997266,279.42588999546075,497.25,google-play,2013,5.5,8.0,32.0,3100.0
0.27,34.65735902799726,458.4532328074637,482.76,google-play,2013,5.5,8.0,32.0,3100.0
0.93,34.657359027997266,402.02557105246376,468.7,google-play,2013,5.5,8.0,32.0,3100.0
0.62,47.82715545863622,438.39305460605016,455.05,google-play,2013,5.5,8.0,32.0,3100.0
0.42,51.986038541995896,368.0391941976486,441.8,google-play,2013,5.5,8.0,32.0,3100.0
0.43,67.64074162242287,372.2193048920072,428.93,google-play,2013,5.5,8.0,32.0,3100.0
0.32,71.79962470578253,362.7641449317415,416.44,google-play,2013,5.5,8.0,32.0,3100.0
0.35,79.13656161949017,339.66678745973786,404.31,google-play,2013,5.5,8.0,32.0,3100.0
0.15,81.83792283244158,391.0687668049256,392.53,google-play,2013,5.5,8.0,32.0,3100.0
0.1,86.4022710239094,391.69663680071324,381.1,google-play,2014,5.5,8.0,32.0,3100.0
0.12,86.4022710239094,332.2570292020148,370.0,google-play,2014,5.5,8.0,32.0,3100.0
0.11,83.62968230166959,277.6996188677268,360.21,google-play,2014,5.5,8.0,32.0,3100.0
0.11,89.17485974614921,297.62076477928906,345.55,google-play,2014,5.5,8.0,32.0,3100.0
0.07,85.70912384334946,258.6135918413812,356.12,google-play,2014,5.5,8.0,32.0,3100.0
0.02,96.10633155174864,352.74691925010967,331.71,google-play,2014,5.5,8.0,32.0,3100.0
0.02,91.94744846838894,342.5921467213555,318.89,google-play,2014,5.5,8.0,32.0,3100.0
0.3,67.64074162242287,5.799696581786634,583.73,google-play,2013,5.7,12.0,32.0,3200.0
0.55,71.79962470578253,52.197269236079705,566.73,google-play,2013,5.7,12.0,32.0,3200.0
1.03,79.13656161949017,93.9550846249436,550.22,google-play,2013,5.7,12.0,32.0,3200.0
1.05,81.83792283244158,451.8989422714475,534.19,google-play,2013,5.7,12.0,32.0,3200.0
0.43,86.4022710239094,486.52085783236953,518.64,google-play,2014,5.7,12.0,32.0,3200.0
0.66,86.4022710239094,414.7677722869909,503.53,google-play,2014,5.7,12.0,32.0,3200.0
0.73,83.62968230166959,417.5832921299412,501.79,google-play,2014,5.7,12.0,32.0,3200.0
0.45,89.17485974614921,406.8120293180634,476.57,google-play,2014,5.7,12.0,32.0,3200.0
0.31,85.70912384334946,382.4262764229027,477.78,google-play,2014,5.7,12.0,32.0,3200.0
0.36,96.10633155174864,441.5378477356917,481.76,google-play,2014,5.7,12.0,32.0,3200.0
0.5,91.94744846838894,531.9426705160513,484.96,google-play,2014,5.7,12.0,32.0,3200.0
0.42,85.0159766627895,436.5058569691565,454.64,google-play,2014,5.7,12.0,32.0,3200.0
0.38,88.55294007487761,339.50796489369793,412.72,google-play,2014,5.7,12.0,32.0,3200.0
0.31,80.92832108871818,393.921828406177,371.14,google-play,2014,5.7,12.0,32.0,3200.0
0.26,80.9283210887182,317.2425104521421,433.4,google-play,2014,5.7,12.0,32.0,3200.0
0.26,68.04620673053104,487.714687844772,410.61,google-play,2014,5.7,12.0,32.0,3200.0
0.78,7.624618986159399,201.82944104617513,655.85,ios,2013,4.0,8.0,16.0,1440.0
0.0999999999999999,7.624618986159398,5.799696581786634,655.7,ios,2013,4.0,8.0,16.0,1440.0
1.12,7.624618986159398,57.99696581786645,652.55,ios,2013,4.0,8.0,16.0,1440.0
1.26,7.624618986159399,559.8524015936626,651.9,ios,2013,4.0,8.0,16.0,1440.0
0.765,7.624618986159399,512.1909867663061,632.91,ios,2013,4.0,8.0,16.0,1440.0
0.27,7.624618986159399,561.0463566951979,614.48,ios,2013,4.0,8.0,16.0,1440.0
0.71,7.624618986159398,560.5961109828042,596.58,ios,2013,4.0,8.0,16.0,1440.0
0.22,7.624618986159398,497.5646187204321,579.21,ios,2013,4.0,8.0,16.0,1440.0
0.38,29.80532876407765,534.6758116631603,562.34,ios,2013,4.0,8.0,16.0,1440.0
0.26,29.80532876407765,522.2767374295518,545.96,ios,2013,4.0,8.0,16.0,1440.0
0.12,29.80532876407765,459.20745670324953,530.06,ios,2013,4.0,8.0,16.0,1440.0
0.04,29.80532876407765,448.68178806871435,514.62,ios,2013,4.0,8.0,16.0,1440.0
0.05,29.80532876407765,437.33559611639555,499.63,ios,2014,4.0,8.0,16.0,1440.0
0.07,29.80532876407765,425.16195398917927,485.08,ios,2014,4.0,8.0,16.0,1440.0
0.08,29.80532876407765,414.4668866055528,464.28,ios,2014,4.0,8.0,16.0,1440.0
0.03,29.80532876407765,553.7156996021403,464.28,ios,2014,4.0,8.0,16.0,1440.0
0.05,29.80532876407765,445.0422806112644,489.11,ios,2014,4.0,8.0,16.0,1440.0
0.04,29.805328764077643,430.63441781466906,424.8,ios,2014,4.0,8.0,16.0,1440.0
0.03,29.80532876407765,544.3084708176873,413.6,ios,2014,4.0,8.0,16.0,1440.0
0.02,29.80532876407765,453.63350060989137,383.29,ios,2014,4.0,8.0,16.0,1440.0
0.01,55.45177444479563,300.05258677379084,377.32,ios,2014,4.0,8.0,16.0,1440.0
0.01,55.45177444479563,346.8116546751878,378.48,ios,2014,4.0,8.0,16.0,1440.0
0.01,55.45177444479563,267.819384945552,356.45,ios,2014,4.0,8.0,16.0,1440.0
0.01,55.451774444795625,484.07252135653687,332.98,ios,2014,4.0,8.0,16.0,1440.0
0.78,29.112181583517707,222.708348740607,722.66,ios,2013,4.0,8.0,32.0,1570.0
0.59,29.112181583517707,59.156905134223734,701.61,ios,2013,4.0,8.0,32.0,1570.0
0.51,29.112181583517707,5.799696581786634,681.18,ios,2013,4.0,8.0,32.0,1570.0
1.32,29.112181583517707,560.8931006326756,661.34,ios,2013,4.0,8.0,32.0,1570.0
0.83,29.112181583517707,600.8292142770309,642.07,ios,2014,4.0,8.0,32.0,1570.0
0.36,29.112181583517707,532.1604973248499,623.37,ios,2014,4.0,8.0,32.0,1570.0
0.3,29.112181583517707,569.4549427308968,631.94,ios,2014,4.0,8.0,32.0,1570.0
0.25,29.112181583517707,556.1068890727049,631.94,ios,2014,4.0,8.0,32.0,1570.0
0.46,29.112181583517707,490.95639703391686,649.4,ios,2014,4.0,8.0,32.0,1570.0
0.4,29.1121815835177,549.0899828164785,607.6,ios,2014,4.0,8.0,32.0,1570.0
0.33,29.112181583517707,549.0899828164785,666.49,ios,2014,4.0,8.0,32.0,1570.0
0.52,29.112181583517707,510.1469454173596,637.93,ios,2014,4.0,8.0,32.0,1570.0
0.0399999999999999,54.758627264235685,480.0327433655367,610.5,ios,2014,4.0,8.0,32.0,1570.0
0.05,54.758627264235685,520.8250049083971,554.87,ios,2014,4.0,8.0,32.0,1570.0
0.06,54.758627264235685,502.20184030789085,537.04,ios,2014,4.0,8.0,32.0,1570.0
0.06,54.75862726423568,483.20147124488085,525.57,ios,2014,4.0,8.0,32.0,1570.0
1.02,55.45177444479563,216.9086521588203,625.53,ios,2014,4.7,8.0,16.0,1810.0
1.03,55.45177444479563,111.35417437030344,627.29,ios,2014,4.7,8.0,16.0,1810.0
1.12,55.45177444479563,59.156905134223734,603.25,ios,2014,4.7,8.0,16.0,1810.0
1.23,55.451774444795625,544.649867406566,594.96,ios,2014,4.7,8.0,16.0,1810.0
0.15,31.191623125197545,301.586926215708,338.24,google-play,2013,4.8,8.0,16.0,2100.0
0.4500000000000001,31.191623125197538,15.079211112645282,338.24,google-play,2013,4.8,8.0,16.0,2100.0
1.85,35.35050620855721,15.079211112645282,338.24,google-play,2013,4.8,8.0,16.0,2100.0
1.195,35.350506208557206,391.08562937645064,328.39,google-play,2013,4.8,8.0,16.0,2100.0
0.54,35.35050620855721,391.08562937645064,318.82,google-play,2013,4.8,8.0,16.0,2100.0
0.22,48.52030263919617,249.373226128049,309.54,google-play,2013,4.8,8.0,16.0,2100.0
0.2,52.67918572255584,237.91051460557813,300.52,google-play,2013,4.8,8.0,16.0,2100.0
0.27,68.33388880298281,302.4347199883312,291.77,google-play,2013,4.8,8.0,16.0,2100.0
0.13,72.49277188634248,224.85338894616365,283.27,google-play,2013,4.8,8.0,16.0,2100.0
0.07,79.82970880005011,325.29878918345014,275.02,google-play,2013,4.8,8.0,16.0,2100.0
0.02,82.53107001300152,231.10339291675115,267.01,google-play,2013,4.8,8.0,16.0,2100.0
0.11,87.09541820446935,206.65653530834828,259.23,google-play,2014,4.8,8.0,16.0,2100.0
0.02,87.09541820446935,233.42017904751157,251.68,google-play,2014,4.8,8.0,16.0,2100.0
0.23,29.112181583517707,301.586926215708,538.95,ios,2013,4.0,8.0,32.0,1510.0
0.21,29.112181583517707,81.59266148782564,523.26,ios,2013,4.0,8.0,32.0,1510.0
0.51,29.112181583517707,301.586926215708,508.02,ios,2013,4.0,8.0,32.0,1510.0
0.12,29.112181583517707,449.3130317414787,493.22,ios,2013,4.0,8.0,32.0,1510.0
0.5,29.112181583517707,391.4532082428977,478.85,ios,2014,4.0,8.0,32.0,1510.0
1.28,29.112181583517707,433.4908565804385,464.91,ios,2014,4.0,8.0,32.0,1510.0
0.3400000000000001,29.112181583517707,498.4380609253132,461.18,ios,2014,4.0,8.0,32.0,1510.0
0.48,29.112181583517707,413.2852143796364,465.42,ios,2014,4.0,8.0,32.0,1510.0
0.29,29.112181583517707,462.0203467609484,485.95,ios,2014,4.0,8.0,32.0,1510.0
0.28,29.1121815835177,329.8922502190344,467.43,ios,2014,4.0,8.0,32.0,1510.0
0.2,29.112181583517707,462.3736164737496,505.14,ios,2014,4.0,8.0,32.0,1510.0
0.21,29.112181583517707,412.60068903861566,475.71,ios,2014,4.0,8.0,32.0,1510.0
0.06,54.758627264235685,405.3747435557365,497.85,ios,2014,4.0,8.0,32.0,1510.0
0.07,54.758627264235685,489.8870929295556,426.62,ios,2014,4.0,8.0,32.0,1510.0
0.05,54.758627264235685,469.501352443796,423.79,ios,2014,4.0,8.0,32.0,1510.0
0.05,54.75862726423568,426.4462428957571,384.6,ios,2014,4.0,8.0,32.0,1510.0
0.24,67.92842369487464,75.99006759604401,424.49,google-play,2013,5.2,13.0,24.0,3000.0
0.46,72.0873067782343,75.99006759604401,412.13,google-play,2013,5.2,13.0,24.0,3000.0
0.44,79.42424369194194,139.98383268570205,400.13,google-play,2013,5.2,13.0,24.0,3000.0
0.52,82.12560490489335,375.6308191093036,388.47,google-play,2013,5.2,13.0,24.0,3000.0
0.41,86.68995309636118,367.0692237167114,377.16,google-play,2014,5.2,13.0,24.0,3000.0
0.41,86.68995309636118,550.7382904491882,366.17,google-play,2014,5.2,13.0,24.0,3000.0
0.49,83.91736437412136,409.07145098346075,380.78,google-play,2014,5.2,13.0,24.0,3000.0
0.5,89.46254181860098,337.24341049815393,359.99,google-play,2014,5.2,13.0,24.0,3000.0
0.51,85.99680591580123,393.6245596198032,361.01,google-play,2014,5.2,13.0,24.0,3000.0
0.445,96.3940136242004,537.3348219340862,333.65,google-play,2014,5.2,13.0,24.0,3000.0
0.38,92.23513054084071,389.34376192350715,341.8,google-play,2014,5.2,13.0,24.0,3000.0
0.28,85.30365873524127,607.330482064267,336.88,google-play,2014,5.2,13.0,24.0,3000.0
0.19,88.84062214732938,246.19379871283874,324.27,google-play,2014,5.2,13.0,24.0,3000.0
0.12,81.21600316116995,251.83918726054318,294.23,google-play,2014,5.2,13.0,24.0,3000.0
0.22,81.21600316116998,421.46193835062877,301.49,google-play,2014,5.2,13.0,24.0,3000.0
0.06,68.33388880298281,412.7271715301929,305.08,google-play,2014,5.2,13.0,24.0,3000.0
0.67,28.41903440295776,15.079211112645226,817.47,ios,2013,4.0,8.0,64.0,1560.0
0.21,28.41903440295776,10.439453847215987,793.66,ios,2013,4.0,8.0,64.0,1560.0
0.51,28.41903440295776,95.51193328411352,770.54,ios,2013,4.0,8.0,64.0,1560.0
0.55,28.41903440295776,576.6892423247529,748.1,ios,2013,4.0,8.0,64.0,1560.0
0.31,28.41903440295776,690.1420727537065,726.31,ios,2014,4.0,8.0,64.0,1560.0
0.67,28.41903440295776,562.7405309516519,705.16,ios,2014,4.0,8.0,64.0,1560.0
0.3,28.41903440295776,528.6376345266848,723.21,ios,2014,4.0,8.0,64.0,1560.0
0.25,28.41903440295776,546.0223137338335,723.21,ios,2014,4.0,8.0,64.0,1560.0
0.23,28.41903440295776,845.7182696338957,718.27,ios,2014,4.0,8.0,64.0,1560.0
0.22,28.419034402957752,596.4691666074642,677.53,ios,2014,4.0,8.0,64.0,1560.0
0.14,28.41903440295776,858.2212467242105,740.34,ios,2014,4.0,8.0,64.0,1560.0
0.41,28.41903440295776,577.0052514542753,694.59,ios,2014,4.0,8.0,64.0,1560.0
0.0399999999999999,54.06548008367574,498.3138329366841,663.25,ios,2014,4.0,8.0,64.0,1560.0
0.02,54.06548008367574,608.3348728433141,599.72,ios,2014,4.0,8.0,64.0,1560.0
0.04,54.06548008367574,621.1164009495067,590.08,ios,2014,4.0,8.0,64.0,1560.0
0.04,54.06548008367574,647.5337739720139,550.96,ios,2014,4.0,8.0,64.0,1560.0
0.86,54.06548008367574,139.98383268570205,709.49,ios,2014,4.7,8.0,64.0,1810.0
0.69,54.06548008367574,95.51193328411352,711.56,ios,2014,4.7,8.0,64.0,1810.0
1.07,54.06548008367574,139.98383268570205,709.21,ios,2014,4.7,8.0,64.0,1810.0
1.14,54.06548008367574,501.89303921050464,681.86,ios,2014,4.7,8.0,64.0,1810.0
0.73,6.931471805599454,139.98383268570205,719.33,ios,2013,4.0,8.0,32.0,1440.0
0.06,6.931471805599452,79.46988554511597,718.25,ios,2013,4.0,8.0,32.0,1440.0
0.75,6.931471805599452,95.51193328411352,717.8,ios,2013,4.0,8.0,32.0,1440.0
0.78,6.931471805599454,638.2534454489186,717.62,ios,2013,4.0,8.0,32.0,1440.0
0.45,6.931471805599454,637.5053448806339,696.71,ios,2013,4.0,8.0,32.0,1440.0
0.12,6.931471805599454,592.7217369089266,676.42,ios,2013,4.0,8.0,32.0,1440.0
0.25,6.931471805599452,576.5550057418816,656.72,ios,2013,4.0,8.0,32.0,1440.0
0.32,6.931471805599452,562.070947517035,637.59,ios,2013,4.0,8.0,32.0,1440.0
0.12,29.112181583517707,608.5303015738269,619.02,ios,2013,4.0,8.0,32.0,1440.0
0.06,29.112181583517707,550.4124936581554,600.99,ios,2013,4.0,8.0,32.0,1440.0
0.05,29.112181583517707,537.161415999556,583.49,ios,2013,4.0,8.0,32.0,1440.0
0.07,29.112181583517707,705.8400837610845,566.49,ios,2013,4.0,8.0,32.0,1440.0
0.03,29.112181583517707,556.2810183648278,549.99,ios,2014,4.0,8.0,32.0,1440.0
0.05,29.112181583517707,483.6450712751831,533.97,ios,2014,4.0,8.0,32.0,1440.0
0.03,29.112181583517707,532.3833613223981,549.08,ios,2014,4.0,8.0,32.0,1440.0
0.02,29.112181583517707,658.023989104884,549.08,ios,2014,4.0,8.0,32.0,1440.0
0.01,29.112181583517707,509.8572219884904,508.44,ios,2014,4.0,8.0,32.0,1440.0
0.01,29.1121815835177,520.3237030873632,466.46,ios,2014,4.0,8.0,32.0,1440.0
0.01,29.112181583517707,760.8053740924702,479.76,ios,2014,4.0,8.0,32.0,1440.0
0.01,29.112181583517707,367.26833420403557,461.38,ios,2014,4.0,8.0,32.0,1440.0
0.01,54.758627264235685,338.18938804052254,456.74,ios,2014,4.0,8.0,32.0,1440.0
0.01,54.758627264235685,529.9121939755229,433.32,ios,2014,4.0,8.0,32.0,1440.0
